Ticker,Shares
DUOL,0.13697767160504495
NFLX,0.05427671179599948
NOW,0.045726065490595574
SAP,0.20524003756861695
ADBE,0.06596546017849574
META,0.0836595600798703
JPM,0.21332623841012446
GOOG,0.27877037638374813
TD.TO,3.79358974596355
LOW,0.17431351792955807
IBM,0.8214607368626538
MCD,0.6042085548272602
V,0.15132058114795144
COST,0.049524905579937696
TM,0.6947077207930277
SO,2.6583448806354624
NVO,0.7453188382241702
TMUS,0.28540280573336857
KO,2.109872652586641
PEP,0.7154204900603138
PG,0.2655263234583807
